2023-08-31 00:01:12.864 -04:00 [INF]   look.domain.entities.cuentas.ClienteWithIds
2023-08-31 00:38:26.611 -04:00 [INF]   Solicitud Delete ClienteId: 14
2023-08-31 07:34:42.265 -04:00 [INF]   Iniciando Servicio de Backend . net 6 look-out
2023-08-31 07:34:42.385 -04:00 [INF]   Cargando inyección de dependencias
2023-08-31 07:34:42.448 -04:00 [INF]   Esperando Solicitudes.....
2023-08-31 07:58:18.253 -04:00 [INF]   Iniciando Servicio de Backend . net 6 look-out
2023-08-31 07:58:18.387 -04:00 [INF]   Cargando inyección de dependencias
2023-08-31 07:58:18.464 -04:00 [INF]   Esperando Solicitudes.....
2023-08-31 07:58:31.451 -04:00 [INF]   Solicitud Delete ClienteId: 1
2023-08-31 07:59:10.416 -04:00 [INF]   Solicitud Delete ClienteId: 1
2023-08-31 08:35:16.383 -04:00 [INF]   Iniciando Servicio de Backend . net 6 look-out
2023-08-31 08:35:16.473 -04:00 [INF]   Cargando inyección de dependencias
2023-08-31 08:35:16.554 -04:00 [INF]   Esperando Solicitudes.....
2023-08-31 08:35:33.544 -04:00 [INF]   Solicitud Get ClientePersona
2023-08-31 08:37:13.725 -04:00 [INF]   Iniciando Servicio de Backend . net 6 look-out
2023-08-31 08:37:13.819 -04:00 [INF]   Cargando inyección de dependencias
2023-08-31 08:37:13.833 -04:00 [INF]   Esperando Solicitudes.....
2023-08-31 08:37:21.466 -04:00 [INF]   Solicitud Get ClientePersona
2023-08-31 14:14:57.654 -04:00 [INF]   Iniciando Servicio de Backend . net 6 look-out
2023-08-31 14:14:57.772 -04:00 [INF]   Cargando inyección de dependencias
2023-08-31 14:14:57.792 -04:00 [INF]   Esperando Solicitudes.....
2023-08-31 14:15:10.292 -04:00 [INF]   Iniciando Servicio de Backend . net 6 look-out
2023-08-31 14:15:10.471 -04:00 [INF]   Cargando inyección de dependencias
2023-08-31 14:15:10.485 -04:00 [INF]   Esperando Solicitudes.....
2023-08-31 14:16:08.038 -04:00 [INF]   Iniciando Servicio de Backend . net 6 look-out
2023-08-31 14:16:08.151 -04:00 [INF]   Cargando inyección de dependencias
2023-08-31 14:16:08.173 -04:00 [INF]   Esperando Solicitudes.....
